                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3071,                 13.849,                 4.5714,                  2e-05,                0.01786,                  1e-05,                      0,                 1.8365,                 105.37,                 2.0796,              5.383e-05,              5.383e-05,              5.383e-05
                      2,                 3.1502,                 10.991,                 4.1472,                  2e-05,                0.01786,                  2e-05,                  1e-05,                 1.8361,                 105.53,                 2.0797,             0.00010964,             0.00010964,             0.00010964
                      3,                 3.8412,                 9.5137,                 4.5777,                  4e-05,                0.05952,                  3e-05,                  1e-05,                 1.8358,                 105.69,                 2.0798,             0.00015936,             0.00015936,             0.00015936
                      4,                 4.0968,                 11.478,                 4.4469,                  2e-05,                0.04167,                  2e-05,                      0,                 1.8355,                 105.77,                 2.0799,             0.00020299,             0.00020299,             0.00020299
                      5,                 3.4501,                 10.598,                 3.8659,                  2e-05,                0.04167,                  2e-05,                      0,                 1.8346,                 105.48,                 2.0799,             0.00024053,             0.00024053,             0.00024053
                      6,                  3.316,                 9.0773,                  4.342,                  2e-05,                0.04167,                  2e-05,                      0,                 1.8336,                 104.37,                   2.08,             0.00027198,             0.00027198,             0.00027198
                      7,                 2.9348,                 9.4638,                 3.7555,                  2e-05,                0.01786,                  1e-05,                      0,                 1.8336,                 102.67,                 2.0805,             0.00029733,             0.00029733,             0.00029733
                      8,                 3.6725,                 9.3413,                 4.2287,                  2e-05,                0.01786,                  1e-05,                      0,                  1.835,                 99.791,                  2.081,              0.0003166,              0.0003166,              0.0003166
                      9,                 3.3289,                 10.031,                  3.613,                  2e-05,                0.01786,                  1e-05,                      0,                 1.8379,                  95.85,                 2.0832,             0.00032978,             0.00032978,             0.00032978
                     10,                 3.2774,                 9.6173,                 4.1061,                  2e-05,                0.01786,                  1e-05,                      0,                 1.8403,                 93.428,                 2.0855,             0.00033686,             0.00033686,             0.00033686
                     11,                 3.7565,                 13.256,                 4.1763,                  2e-05,                0.01786,                  1e-05,                      0,                 1.8491,                 89.281,                 2.0889,             0.00033786,             0.00033786,             0.00033786
                     12,                 3.2297,                 12.003,                 3.5903,                  2e-05,                0.01786,                  1e-05,                      0,                 1.8545,                 86.674,                 2.0929,             0.00033277,             0.00033277,             0.00033277
                     13,                 3.0168,                 12.187,                 3.9592,                  2e-05,                0.01786,                  1e-05,                      0,                 1.8607,                 85.282,                 2.0955,             0.00031221,             0.00031221,             0.00031221
                     14,                 2.9537,                 10.925,                 3.4508,                  2e-05,                0.01786,                  1e-05,                      0,                 1.8579,                 84.231,                 2.0922,             0.00027415,             0.00027415,             0.00027415
                     15,                 3.3264,                 13.147,                 3.6672,                  2e-05,                0.01786,                  1e-05,                      0,                 1.8257,                 83.755,                 2.0786,             0.00023608,             0.00023608,             0.00023608
                     16,                 2.9357,                 13.094,                 3.5492,                0.00015,                0.04167,                0.04192,                0.01608,                 1.7767,                 83.422,                 2.0547,             0.00019802,             0.00019802,             0.00019802
                     17,                  2.579,                 11.513,                  3.365,                0.00015,                0.04167,                0.04193,                0.01469,                 1.6832,                 83.285,                 2.0216,             0.00015995,             0.00015995,             0.00015995
                     18,                 2.7753,                  15.04,                 3.3464,                0.00034,                  0.125,                0.05507,                0.01971,                 1.6013,                  83.54,                 1.9951,             0.00012189,             0.00012189,             0.00012189
                     19,                 3.2648,                 11.446,                 3.8323,                0.00041,                0.18452,                0.05965,                0.01696,                 1.5898,                 83.837,                 1.9784,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     20,                 3.0325,                 22.512,                  3.414,                 0.0004,                0.18452,                 0.0599,                0.01795,                 1.5569,                 84.396,                 1.9622,             4.5756e-05,             4.5756e-05,             4.5756e-05
